beta1,alpha,R0,class,max_re,max_im
0.28,0.2217391304347826,2.2502243505308384,endemic_spiral,-0.005060661117234366,0.024359112333306763
0.28,0.3934782608695652,2.532224222228546,endemic_spiral,-0.005596098179670645,0.025955065648492075
0.28,0.5652173913043479,2.8142240939262537,endemic_spiral,-0.006109753158056782,0.027427566547455796
0.28,0.7369565217391305,3.0962239656239614,endemic_spiral,-0.006609184334569388,0.028802327447391994
0.28,0.9086956521739131,3.378223837321669,endemic_spiral,-0.007098646680052485,0.030096248279716895
0.28,1.0804347826086957,3.6602237090193768,endemic_spiral,-0.007580713871838214,0.03132133762181639
0.28,1.2521739130434784,3.942223580717084,endemic_spiral,-0.00805703191511209,0.032486596865104224
0.28,1.423913043478261,4.224223452414792,endemic_spiral,-0.008528701506612734,0.033599037467219234
0.28,1.5956521739130436,4.506223324112499,endemic_spiral,-0.008996485825770343,0.0346642802710333
0.28,1.7673913043478262,4.7882231958102075,endemic_spiral,-0.009460930221137621,0.03568693301613726
0.28,1.9391304347826088,5.070223067507914,endemic_spiral,-0.009922434459199023,0.03667084096306658
0.28,2.110869565217391,5.352222939205622,endemic_spiral,-0.010381297773412478,0.037619260265791044
0.28,2.282608695652174,5.63422281090333,endemic_spiral,-0.010837748465541253,0.03853498224544792
0.28,2.4543478260869565,5.916222682601037,endemic_spiral,-0.011291963605441917,0.03942042469157959
0.28,2.626086956521739,6.198222554298744,endemic_spiral,-0.011744082325370296,0.040277700812655845
0.28,2.7978260869565217,6.480222425996453,endemic_spiral,-0.012194215222761519,0.04110867211727439
0.28,2.9695652173913043,6.76222229769416,endemic_spiral,-0.012642451501656507,0.04191498984992387
0.28,3.141304347826087,7.044222169391867,endemic_spiral,-0.013088863415810562,0.04269812778035404
0.28,3.3130434782608695,7.326222041089576,endemic_spiral,-0.01353351028949047,0.04345940864050604
0.28,3.484782608695652,7.608221912787283,endemic_spiral,-0.013976440926622407,0.04420002549481344
0.28,3.6565217391304348,7.89022178448499,endemic_spiral,-0.01441769601375632,0.04492105944181569
0.28,3.8282608695652174,8.172221656182698,endemic_spiral,-0.014857309443063536,0.04562349419144503
0.28,4.0,8.454221527880406,endemic_spiral,-0.015295309768701386,0.04630822825051918
0.3,0.05,2.066745952995874,endemic_spiral,-0.004680023878210872,0.02365412488674885
0.3,0.2217391304347826,2.3487458246935815,endemic_spiral,-0.005251323035867662,0.025294593439723515
0.3,0.3934782608695652,2.630745696391289,endemic_spiral,-0.005786520245515427,0.026803130697890334
0.3,0.5652173913043479,2.912745568088997,endemic_spiral,-0.006300095343191432,0.028208877143708795
